epoch,loss,accuracy,val_loss,val_accuracy
0,0.6512100696563721,0.6361597776412964,0.9151051044464111,0.5775309801101685
1,0.5369874835014343,0.7354229092597961,0.5705462694168091,0.7332336902618408
2,0.44959357380867004,0.792076051235199,1.4488022327423096,0.5
3,0.36867794394493103,0.839918851852417,1.473160743713379,0.5589491724967957
4,0.28776100277900696,0.8747864365577698,1.1473113298416138,0.5905596017837524
5,0.24018561840057373,0.9013242125511169,0.27976134419441223,0.878257155418396
6,0.1967695951461792,0.9222020506858826,0.23720230162143707,0.9090132713317871
7,0.16212354600429535,0.9334152340888977,0.19718049466609955,0.9239641427993774
8,0.14804066717624664,0.941638171672821,0.667461633682251,0.7601452469825745
9,0.12268172949552536,0.951676607131958,0.22057288885116577,0.9156343340873718
10,0.10747052729129791,0.95819091796875,0.2199486792087555,0.9051687121391296
11,0.09367511421442032,0.964438259601593,0.19108514487743378,0.9256727695465088
12,0.08746139705181122,0.9678556323051453,0.44876828789711,0.8400256037712097
13,0.08282090723514557,0.971433162689209,0.1744033247232437,0.9401965141296387
14,0.06637313961982727,0.9762387871742249,0.21422605216503143,0.9322938919067383
15,0.06694890558719635,0.9751174449920654,0.2759038209915161,0.9120033979415894
16,0.06376288086175919,0.9773067235946655,0.36893826723098755,0.875266969203949
17,0.054334789514541626,0.980457067489624,0.5153745412826538,0.8220846056938171
18,0.049732040613889694,0.9823793172836304,0.18974986672401428,0.9354976415634155
19,0.05205710604786873,0.9808308482170105,0.2938118577003479,0.8927808403968811
20,0.04391361027956009,0.9832870364189148,0.15584957599639893,0.9414780139923096
21,0.045129336416721344,0.9828599095344543,0.3394513428211212,0.8880820274353027
22,0.03591355308890343,0.9870247840881348,0.5346335172653198,0.8475010395050049
23,0.04640721157193184,0.9833404421806335,0.20346428453922272,0.9348568916320801
24,0.03366418927907944,0.9876655340194702,0.2698279321193695,0.9329346418380737
