epoch,loss,accuracy,val_loss,val_accuracy
0,0.6704404354095459,0.6143742203712463,0.7588180303573608,0.5852199792861938
1,0.5677624344825745,0.7042930126190186,0.8623806238174438,0.6040153503417969
2,0.48793888092041016,0.7716787457466125,0.9816738963127136,0.5941905379295349
3,0.42286691069602966,0.8061725497245789,1.1741021871566772,0.5995301008224487
4,0.36776185035705566,0.8395450711250305,0.4135301411151886,0.8257154822349548
5,0.321114718914032,0.8606364727020264,0.8497281074523926,0.6764203310012817
6,0.2817573547363281,0.880980372428894,0.487652450799942,0.8005126118659973
7,0.2508547902107239,0.8958244323730469,0.35657644271850586,0.8387441039085388
8,0.23721475899219513,0.9021251797676086,0.24590511620044708,0.8961982131004333
9,0.20958678424358368,0.9147800207138062,0.22727318108081818,0.9041008353233337
10,0.1960684061050415,0.9202263951301575,0.20946170389652252,0.9199060201644897
11,0.17886075377464294,0.9273280501365662,0.22582347691059113,0.9017513990402222
12,0.16740231215953827,0.9338423609733582,0.6040169596672058,0.7857753038406372
13,0.15918616950511932,0.9373664855957031,0.14979341626167297,0.9397693276405334
14,0.14836277067661285,0.9410508275032043,0.12066657096147537,0.9536522626876831
15,0.13468103110790253,0.9456962943077087,0.16801601648330688,0.9404100775718689
16,0.12505704164505005,0.9490602016448975,0.14477430284023285,0.9444682002067566
17,0.12383634597063065,0.9512494802474976,0.2638990879058838,0.8885091543197632
18,0.11391302943229675,0.9544532299041748,0.1265605241060257,0.9483126997947693
19,0.10916130989789963,0.9568560719490051,0.12143229693174362,0.9525843858718872
20,0.10350684076547623,0.9588850736618042,0.12032391130924225,0.9527979493141174
21,0.09390858560800552,0.9633703827857971,0.13503742218017578,0.9457497000694275
22,0.09701146185398102,0.9608607292175293,0.12587054073810577,0.9495941996574402
23,0.08889181166887283,0.9658799767494202,0.12696953117847443,0.9487398266792297
24,0.08944739401340485,0.9670012593269348,0.12420303374528885,0.9517300128936768
